title,course,category,provider,duration,rating,language,students_enrolled,price_discounted,price_original,views
Sales Excellence,https://www.real.discount/offer/sales-excellence-20218,Business > Sales,Udemy,3hr,5,English,50,0$,19.99$,"14,729"
Excellence in Interpersonal Skills,https://www.real.discount/offer/excellence-in-interpersonal-skills-19975,Personal Development > Personal Brand Building,Udemy,1.5hr,4.7,English,44,0$,19.99$,"16,293"
Excellence in Problem Solving,https://www.real.discount/offer/excellence-in-problem-solving-20259,Personal Development > Career Development,Udemy,2hr,4.6,English,184,0$,19.99$,"16,224"
Learn in 69 mins how to make right career choices & Make One,https://www.real.discount/offer/learn-in-69-mins-how-to-make-right-career-choices-make-one-19887,Personal Development > Career Development,Udemy,1hr,5,English,302,0$,19.99$,"15,659"
Excellence in Oral Communication,https://www.real.discount/offer/excellence-in-oral-communication-20501,Business > Communication,Udemy,1.5hr,4.4,English,381,0$,19.99$,"16,103"
Learn in 67 mins how to do so well in your interviews,https://www.real.discount/offer/learn-in-67-mins-how-to-do-so-well-in-your-interviews-20583,Personal Development > Career Development,Udemy,1hr,4.7,English,350,0$,19.99$,"17,092"
The Skilled Interviewer,https://www.real.discount/offer/the-skilled-interviewer-20641,Personal Development > Career Development,Udemy,1hr,4.3,English,696,0$,19.99$,"15,014"
Learn how to prepare a great Resume (CV) AND Prepare Yours!,https://www.real.discount/offer/learn-how-to-prepare-a-great-resume-cv-and-prepare-yours-20702,Personal Development > Career Development,Udemy,1hr,4.6,English,367,0$,19.99$,"18,787"
Learn in 108 mins how to Find the Right Jobs thru Networking,https://www.real.discount/offer/learn-in-108-mins-how-to-find-the-right-jobs-thru-networking-20715,Personal Development > Career Development,Udemy,2hr,4.9,English,833,0$,19.99$,"16,265"
Master in Artificial Intelligence (AI),https://www.real.discount/offer/master-in-artificial-intelligence-ai-38611,Development > Data Science,Udemy,8hr,0,English,6,0$,54.99$,3
Master in Solution Architecture,https://www.real.discount/offer/master-in-solution-architecture-37670,IT & Software > Other IT & Software,Udemy,7.5hr,0,English,7,0$,54.99$,333
Master in Operations & Supply Chain Management- MOSCM Course,https://www.real.discount/offer/master-in-operations-supply-chain-management-moscm-course-36667,Business > Operations,Udemy,5hr,0,English,0,0$,19.99$,704
A Complete Roadmap to become a Successful Data Scientist,https://www.real.discount/offer/a-complete-roadmap-to-become-a-successful-data-scientist-36200,Development > Data Science,Udemy,5.5hr,0,English,0,0$,19.99$,"2,126"
Software Development & Engineering Excellence Master Course,https://www.real.discount/offer/software-development-engineering-excellence-master-course-35275,Development > Software Engineering,Udemy,6.5hr,0,English,0,0$,19.99$,"3,912"
How to become a Successful Software Programming Developer,https://www.real.discount/offer/how-to-become-a-successful-software-programming-developer-34279,Development > Software Engineering,Udemy,5hr,0,English,0,0$,19.99$,"5,021"
How to Become a Successful IT Product Manager (Product Mgmt),https://www.real.discount/offer/how-to-become-a-successful-it-product-manager-product-mgmt-33540,Business > Management,Udemy,8.5hr,0,English,1,0$,19.99$,"6,093"
Brand Marketing Strategy Excellence to become Brand Manager,https://www.real.discount/offer/brand-marketing-strategy-excellence-to-become-brand-manager-32773,Marketing > Branding,Udemy,7hr,0,English,0,0$,19.99$,"6,617"
Cracking CAT and similar other Examinations,https://www.real.discount/offer/cracking-cat-and-similar-other-examinations-30589,Teaching & Academics > Test Prep,Udemy,2.5hr,0,English,0,0$,19.99$,"8,710"
Personality Development for a Successful Management Career,https://www.real.discount/offer/personality-development-for-a-successful-management-career-31617,Personal Development > Career Development,Udemy,4hr,0,English,0,0$,19.99$,"8,096"
Campus Placements & Corporate Relations Excellence,https://www.real.discount/offer/campus-placements-corporate-relations-excellence-30365,Teaching & Academics > Teacher Training,Udemy,2.5hr,0,English,0,0$,19.99$,"7,176"
Mastering Complexity,https://www.real.discount/offer/mastering-complexity-29914,Personal Development > Personal Productivity,Udemy,4.5hr,0,English,0,0$,19.99$,"9,957"
Pre MBA for Undergraduates,https://www.real.discount/offer/pre-mba-for-undergraduates-29018,Business > Management,Udemy,9.5hr,0,English,0,0$,19.99$,"11,210"
Excellence in Digital Marketing,https://www.real.discount/offer/excellence-in-digital-marketing-23559,Marketing > Digital Marketing,Udemy,5.5hr,5,English,"1,009",0$,19.99$,"15,205"
Excellence in Time Management,https://www.real.discount/offer/excellence-in-time-management-22346,Personal Development > Personal Productivity,Udemy,2hr,0,English,291,0$,19.99$,"14,700"
Excellence in Sales Management,https://www.real.discount/offer/excellence-in-sales-management-21892,Business > Sales,Udemy,4.5hr,0,English,183,0$,19.99$,"13,698"
Solve Cases & Questions from Kotler's Marketing Management,https://www.real.discount/offer/solve-cases-questions-from-kotler-s-marketing-management-21182,Marketing > Marketing Fundamentals,Udemy,8.5hr,0,English,165,0$,19.99$,"14,787"
Guesstimates and Case Interviews Excellence,https://www.real.discount/offer/guesstimates-and-case-interviews-excellence-20282,Personal Development > Career Development,Udemy,7.5hr,0,English,2,0$,19.99$,"15,432"
"Career Management, Life & Management Skills Assessment Tests",https://www.real.discount/offer/career-management-life-management-skills-assessment-tests-18973,Personal Development > Career Development,Udemy,3hr,0,English,64,0$,19.99$,"17,567"
Learn AND Develop Winning Prototypes,https://www.real.discount/offer/learn-and-develop-winning-prototypes-19844,Business > Entrepreneurship,Udemy,3.5hr,5,English,20,0$,19.99$,"15,508"
Learn & Develop Winning Value Proposition for your business,https://www.real.discount/offer/learn-develop-winning-value-proposition-for-your-business-20094,Business > Entrepreneurship,Udemy,1.5hr,4.8,English,29,0$,19.99$,"15,850"
Learn AND Generate & Select Right Business Ideas,https://www.real.discount/offer/learn-and-generate-select-right-business-ideas-19870,Business > Entrepreneurship,Udemy,1hr,5,English,5,0$,19.99$,"15,818"
Excellence in Product and Brand Management,https://www.real.discount/offer/excellence-in-product-and-brand-management-20029,Marketing > Branding,Udemy,6hr,4.4,English,56,0$,19.99$,"17,643"
आटिज्म और स्पीच प्रीमियम कोर्स,https://www.real.discount/offer/aattijm-aur-spiic-priimiym-kors-37639,Health & Fitness > Mental Health,Udemy,3hr,0,Hindi,6,0$,44.99$,96
"HTML 5,Python,Flask Framework All In One Complete Course",https://www.real.discount/offer/html-5-python-flask-framework-all-in-one-complete-course-5687,IT & Software > IT Certification,Udemy,9.5hr,0,English,"8,771",0$,94.99$,"30,213"
JavaScript And PHP And Python Programming Complete Course,https://www.real.discount/offer/javascript-and-php-and-python-programming-complete-course-14316,Development > Programming Languages,Udemy,8hr,0,English,0,0$,84.99$,"32,466"
Sales operations: strategies and frameworks for selling more,https://www.real.discount/offer/sales-operations-strategies-and-frameworks-for-selling-more-36403,Business > Sales,Udemy,2.5hr,0,English,0,0$,19.99$,655
HTML and CSS for Beginners From Basic to Advance,https://www.real.discount/offer/html-and-css-for-beginners-from-basic-to-advance-21196,Development > Web Development,Udemy,4.5hr,0,English,"1,160",0$,39.99$,"6,587"
Advanced MS Word Course from Beginner to Expert,https://www.real.discount/offer/advanced-ms-word-course-from-beginner-to-expert-35585,Office Productivity > Microsoft,Udemy,6hr,0,English,425,0$,49.99$,"1,758"
Optimiza con DAX Studio a Nivel Avanzado - Power BI,https://www.real.discount/offer/optimiza-con-dax-studio-a-nivel-avanzado-power-bi-28230,Business > Business Analytics & Intelligence,Udemy,3hr,4.5,Spanish,"1,140",0$,29.99$,409
Web Design Course For Beginner to Advanced,https://www.real.discount/offer/web-design-course-for-beginner-to-advanced-25853,Development > Web Development,Udemy,3hr,0,English,169,0$,19.99$,"2,887"
Research Methodologies in Strategy and Product Development,https://www.real.discount/offer/research-methodologies-in-strategy-and-product-development-38262,Business > Business Strategy,Udemy,1hr,0,English,0,0$,19.99$,112
Global Readiness: Fostering Skills For Emerging Landscape,https://www.real.discount/offer/global-readiness-fostering-skills-for-emerging-landscape-38624,Personal Development > Personal Productivity,Udemy,1hr,0,English,122,0$,19.99$,3
Atelier Concentration Extrême,https://www.real.discount/offer/atelier-concentration-extreme-38496,Personal Development > Stress Management,Udemy,2.5hr,0,French,0,0$,89.99$,277
AWS Certified Devops Professional Exam Mocks,https://www.real.discount/offer/aws-certified-devops-professional-exam-mocks-38277,IT & Software > IT Certifications,Udemy,1hr,0,English,0,0$,39.99$,127
Advance MS Excel VBA for Beginner to Advanced,https://www.real.discount/offer/advance-ms-excel-vba-for-beginner-to-advanced-31354,Office Productivity > Microsoft,Udemy,3hr,4.5,English,180,0$,19.99$,"7,447"
Learn UI UX Design Adobe XD : Learn User Experience Design,https://www.real.discount/offer/learn-ui-ux-design-adobe-xd-learn-user-experience-design-33503,Design > User Experience Design,Udemy,4hr,0,English,63,0$,19.99$,"4,442"
Adobe Illustrator Course For Beginner,https://www.real.discount/offer/adobe-illustrator-course-for-beginner-26816,Design > Graphic Design & Illustration,Udemy,3hr,4,English,106,0$,19.99$,"8,898"
Adobe Illustrator CC Masterpiece: Unleashing Creative Magic,https://www.real.discount/offer/adobe-illustrator-cc-masterpiece-unleashing-creative-magic-33501,Design > Graphic Design & Illustration,Udemy,4hr,0,English,27,0$,19.99$,"3,833"
PHP Laravel 2023: Build Coffee Shop Management System,https://www.real.discount/offer/php-laravel-2023-build-coffee-shop-management-system-31555,Development > Web Development,Udemy,9hr,0,English,13,0$,19.99$,"3,849"
Professional Diploma in Administration Management,https://www.real.discount/offer/professional-diploma-in-administration-management-38266,Business > Management,Udemy,3hr,0,English,0,0$,19.99$,111
Ethically Hack the Planet Part 3,https://www.real.discount/offer/ethically-hack-the-planet-part-3-33137,IT & Software > Network & Security,Udemy,1hr,0,English,0,0$,19.99$,"5,087"
Ethically Hack the Planet Part 4,https://www.real.discount/offer/ethically-hack-the-planet-part-4-33627,IT & Software > Network & Security,Udemy,1hr,0,English,1,0$,54.99$,"5,129"
MailChimp Email Marketing Masterclass for eCommerce,https://www.real.discount/offer/mailchimp-email-marketing-masterclass-for-ecommerce-37273,Marketing > Digital Marketing,Udemy,2hr,0,English,0,0$,44.99$,334
Google Ads (Adwords) Masterclass - Pay-Per-Click PPC Adverts,https://www.real.discount/offer/google-ads-adwords-masterclass-pay-per-click-ppc-adverts-34014,Marketing > Digital Marketing,Udemy,3.5hr,0,English,0,0$,19.99$,"4,471"
Search Engine Optimisation: Grow Free Google SEO Traffic,https://www.real.discount/offer/search-engine-optimisation-grow-free-google-seo-traffic-33931,Marketing > Search Engine Optimization,Udemy,2.5hr,0,English,0,0$,19.99$,"4,040"
Shopify eCommerce Store Masterclass,https://www.real.discount/offer/shopify-ecommerce-store-masterclass-15402,Marketing > Digital Marketing,Udemy,2hr,0,English,20,0$,19.99$,"21,912"
Digital Online Marketing for eCommerce: 6 Courses in 1,https://www.real.discount/offer/digital-online-marketing-for-ecommerce-6-courses-in-1-37457,Business > E-Commerce,Udemy,15hr,0,English,0,0$,84.99$,388
Complete Guide to eBay Selling as a Business,https://www.real.discount/offer/complete-guide-to-ebay-selling-as-a-business-13894,Business > E-Commerce,Udemy,2hr,4.8,English,"7,010",0$,19.99$,"23,135"
"Selling on Amazon Complete Course: FBA, FBM, Sponsored Ads",https://www.real.discount/offer/selling-on-amazon-complete-course-fba-fbm-sponsored-ads-13892,Business > E-Commerce,Udemy,4hr,4.5,English,"8,000",0$,19.99$,"24,888"
Mission Planner Simulation Basics,https://www.real.discount/offer/mission-planner-simulation-basics-38625,IT & Software > Other IT & Software,Udemy,3hr,0,English,167,0$,39.99$,3
Control Your Subconscious Mind: Neuroscience Hidden Secrets,https://www.real.discount/offer/control-your-subconscious-mind-neuroscience-hidden-secrets-14043,Personal Development > Personal Transformation,Udemy,2.5hr,3.7,English,"13,767",0$,84.99$,"21,777"
How to Create a Marketing Video for Your Business or Product,https://www.real.discount/offer/how-to-create-a-marketing-video-for-your-business-or-product-5259,Marketing > Video & Mobile Marketing,Udemy,3hr,3.7,English,"52,928",0$,94.99$,"11,932"
"Master Travel Writing, blogging, travel journalism & Earning",https://www.real.discount/offer/master-travel-writing-blogging-travel-journalism-earning-35247,Lifestyle > Travel,Udemy,3hr,0,English,5,0$,44.99$,"3,455"
أساسيات علوم الحاسب | Fundamentals of computer science,https://www.real.discount/offer/ssyt-lwm-lhsb-fundamentals-of-computer-science-32584,IT & Software > IT Certifications,Udemy,1hr,3.5,Arabic,"4,609",0$,19.99$,"4,733"
دورة التطبيقات العملية بلغة البايثون | python applicatons,https://www.real.discount/offer/dwr-lttbyqt-l-mly-blg-lbythwn-python-applicatons-32585,IT & Software > IT Certifications,Udemy,2hr,3.9,Arabic,"1,358",0$,19.99$,"3,199"
Curso WordPress 2021: Cómo Crear una Página Web Desde Cero,https://www.real.discount/offer/curso-wordpress-2021-como-crear-una-pagina-web-desde-cero-4269,Design > Web Design,Udemy,4hr,4,Spanish,"19,118",0$,94.99$,"17,858"
Cómo Crear Una Página Web Desde Cero Para Principiantes 2023,https://www.real.discount/offer/como-crear-una-pagina-web-desde-cero-para-principiantes-2023-30653,Development > Web Development,Udemy,11.5hr,4.7,Spanish,"1,207",0$,19.99$,"6,335"
Cómo Crear un Blog con WordPress y ChatGPT Desde Cero,https://www.real.discount/offer/como-crear-un-blog-con-wordpress-y-chatgpt-desde-cero-31149,Design > Web Design,Udemy,3hr,4.5,Spanish,"1,134",0$,19.99$,"5,718"
Cómo Crear una Página web con WordPress y Elementor,https://www.real.discount/offer/como-crear-una-pagina-web-con-wordpress-y-elementor-20507,Development > No-Code Development,Udemy,3hr,0,Spanish,128,0$,84.99$,"7,664"
Cómo Crear una Tienda Online con WordPress Desde Cero 2022,https://www.real.discount/offer/como-crear-una-tienda-online-con-wordpress-desde-cero-2022-17105,Design > Web Design,Udemy,3hr,0,Spanish,"1,364",0$,84.99$,"13,856"
Cómo Crear una Landing Page con WordPress Desde Cero 2022,https://www.real.discount/offer/como-crear-una-landing-page-con-wordpress-desde-cero-2022-16339,Design > Web Design,Udemy,3hr,4,Spanish,176,0$,84.99$,"9,997"
Curso SiteGround 2021: El Mejor Hosting para WordPress,https://www.real.discount/offer/curso-siteground-2021-el-mejor-hosting-para-wordpress-6411,IT & Software > Other IT & Software,Udemy,3hr,0,Spanish,734,0$,94.99$,"13,620"
Curso de HostGator 2021: El Hosting Ideal Para WordPress,https://www.real.discount/offer/curso-de-hostgator-2021-el-hosting-ideal-para-wordpress-8100,Design > Web Design,Udemy,1hr,0,Spanish,405,0$,94.99$,"12,867"
"Máster en WordPress 2022, ¡Desde Cero Hasta Experto!",https://www.real.discount/offer/master-en-wordpress-2022-desde-cero-hasta-experto-20290,Design > Web Design,Udemy,3hr,0,Spanish,120,0$,199.99$,"8,502"
Top 50 OOP Interview Questions,https://www.real.discount/offer/top-50-oop-interview-questions-36761,Development > Software Engineering,Udemy,1hr,0,English,89,0$,19.99$,106
Budget Plan - خطة الموازنة,https://www.real.discount/offer/budget-plan-kht-lmwzn-26253,Finance & Accounting > Financial Modeling & Analysis,Udemy,3hr,5,Arabic,120,0$,19.99$,"1,346"
Object Detection And Recognition Using TensorFlow And Python,https://www.real.discount/offer/object-detection-and-recognition-using-tensorflow-and-python-35262,IT & Software > Operating Systems & Servers,Udemy,1hr,5,English,791,0$,44.99$,"2,078"
15X EQ BOOST: Your Emotional Intelligence in 15 Days,https://www.real.discount/offer/15x-eq-boost-your-emotional-intelligence-in-15-days-38626,Personal Development > Personal Transformation,Udemy,1.5hr,0,English,274,0$,39.99$,3
